time_s,AorticArchII,ThoracicAortaII,LSubclavianI,RIliacFemoralII,LUlnar,RAnteriorTibial,RUlnar,Splenic
9.20000000e-02,1.02890563e+02,-1.42652139e-03,6.77550630e-03,-6.54691768e-14,-1.18128363e-01,-5.35456047e-02,-1.42450571e-01,-7.06543097e-02
9.30000000e-02,1.04942751e+02,-6.43386906e-03,4.42387181e-03,-7.41430411e-14,-1.18923536e-01,-5.35877962e-02,-1.42414799e-01,-7.04070491e-02
9.40000000e-02,1.07013038e+02,-2.21977701e-03,-6.14667523e-03,-4.50494347e-14,-1.19247298e-01,-5.36288230e-02,-1.42132107e-01,-6.87193630e-02
9.50000000e-02,1.09107168e+02,2.00905467e-02,-1.62506988e-02,-1.14029660e-14,-1.17396293e-01,-5.36685130e-02,-1.41915188e-01,-6.63558046e-02
9.60000000e-02,1.11220091e+02,5.85654512e-02,-8.64484491e-03,2.07581260e-14,-1.12347107e-01,-5.37072473e-02,-1.42238702e-01,-6.49035878e-02
9.70000000e-02,1.13329264e+02,1.00073853e-01,3.30464241e-02,5.91112885e-14,-1.05369867e-01,-5.37450997e-02,-1.43028057e-01,-6.50602976e-02
9.80000000e-02,1.15418669e+02,1.29705861e-01,1.14705699e-01,1.46962227e-14,-9.93222591e-02,-5.37820934e-02,-1.43271916e-01,-6.63710585e-02
9.90000000e-02,1.17490383e+02,1.41074382e-01,2.29273885e-01,-2.28448426e-14,-9.63029247e-02,-5.38182702e-02,-1.41610400e-01,-6.87276115e-02
1.00000000e-01,1.19536688e+02,1.38907426e-01,3.62781993e-01,-5.32146059e-14,-9.62069493e-02,-5.38535696e-02,-1.37523021e-01,-7.31523462e-02
1.01000000e-01,1.21540760e+02,1.33039192e-01,5.03557042e-01,-8.18486309e-14,-9.73929870e-02,-5.38879207e-02,-1.31988266e-01,-8.04241221e-02
1.02000000e-01,1.23490230e+02,1.29396187e-01,6.47985190e-01,-7.68004280e-14,-9.83392313e-02,-5.39214050e-02,-1.26908220e-01,-8.93179098e-02
1.03000000e-01,1.25384023e+02,1.27359504e-01,8.00013502e-01,-8.07441593e-14,-9.85730943e-02,-5.39541468e-02,-1.23802477e-01,-9.68238840e-02
1.04000000e-01,1.27214601e+02,1.26478476e-01,9.66586815e-01,-4.14921864e-14,-9.84234573e-02,-5.39861076e-02,-1.22911979e-01,-1.00169986e-01
1.05000000e-01,1.28953465e+02,1.26637087e-01,1.15278014e+00,-2.63496671e-15,-9.82974210e-02,-5.40171866e-02,-1.23407363e-01,-9.86112468e-02
1.06000000e-01,1.30581556e+02,1.15386878e-01,1.36012624e+00,3.73003002e-14,-9.83333658e-02,-5.40474145e-02,-1.24220348e-01,-9.34388329e-02
1.07000000e-01,1.32097967e+02,7.03968978e-02,1.58718821e+00,3.21120234e-14,-9.84580270e-02,-5.40769010e-02,-1.24696432e-01,-8.70266454e-02
1.08000000e-01,1.33489810e+02,-1.00836142e-02,1.83118471e+00,-2.55360347e-15,-9.85734140e-02,-5.41056702e-02,-1.24749543e-01,-8.16295967e-02
1.09000000e-01,1.34721900e+02,-9.13823028e-02,2.08930180e+00,-3.30135607e-14,-9.86510132e-02,-5.41336613e-02,-1.24599374e-01,-7.85571935e-02
1.10000000e-01,1.35814442e+02,-1.32913676e-01,2.35915987e+00,-6.34450447e-14,-9.87113023e-02,-5.41608468e-02,-1.24473142e-01,-7.78938765e-02
1.11000000e-01,1.36852336e+02,-1.22663133e-01,2.63865973e+00,-6.54828604e-14,-9.87752425e-02,-5.41872775e-02,-1.24455316e-01,-7.87847326e-02
1.12000000e-01,1.37837023e+02,-5.88215315e-02,2.92565894e+00,-2.91268435e-14,-9.88461152e-02,-5.42130198e-02,-1.24460939e-01,-8.00976768e-02
1.13000000e-01,1.38689070e+02,1.24652466e-01,3.21775234e+00,2.36780214e-14,-9.89183178e-02,-5.42380690e-02,-1.24370355e-01,-8.10484885e-02
1.14000000e-01,1.39426732e+02,6.22680663e-01,3.51223894e+00,4.75862140e-14,-9.89881688e-02,-5.42623827e-02,-1.24095895e-01,-8.14374173e-02
1.15000000e-01,1.40159242e+02,1.63918524e+00,3.80626362e+00,2.49220122e-14,-9.90559487e-02,-5.42859729e-02,-1.23026114e-01,-8.14724589e-02
1.16000000e-01,1.40934023e+02,3.05442874e+00,4.09710615e+00,-3.24730317e-14,-9.91229834e-02,-5.43088571e-02,-1.19515922e-01,-8.14366019e-02
1.17000000e-01,1.41715554e+02,4.39866478e+00,4.38250897e+00,-1.09484865e-13,-9.91896586e-02,-5.43310712e-02,-1.12344222e-01,-8.14778115e-02
1.18000000e-01,1.42419254e+02,5.43466107e+00,4.66077958e+00,-8.39777387e-14,-9.92556647e-02,-5.43527368e-02,-1.03374451e-01,-8.15997125e-02
1.19000000e-01,1.42955710e+02,6.50166318e+00,4.93052113e+00,-8.56200554e-15,-9.93208188e-02,-5.43736826e-02,-9.72096874e-02,-8.17508694e-02
1.20000000e-01,1.43378384e+02,7.97712544e+00,5.19023720e+00,-1.89989166e-13,-9.93852421e-02,-5.43936347e-02,-9.66739902e-02,-8.18962265e-02
1.21000000e-01,1.43863610e+02,9.77237441e+00,5.43835835e+00,-2.16599308e-13,-9.94490432e-02,-5.44134064e-02,-9.96637953e-02,-8.20306619e-02
1.22000000e-01,1.44439706e+02,1.16436620e+01,5.67372422e+00,3.00623466e-13,-9.95121394e-02,-5.44333770e-02,-1.01888374e-01,-8.21608818e-02
1.23000000e-01,1.44981983e+02,1.35917725e+01,5.89585453e+00,-2.48377167e-14,-9.95744148e-02,-5.44512469e-02,-1.01672150e-01,-8.22908862e-02
1.24000000e-01,1.45485497e+02,1.57167759e+01,6.10448388e+00,-1.12890486e-12,-9.96359369e-02,-5.44690442e-02,-1.00582718e-01,-8.24208114e-02
1.25000000e-01,1.46029263e+02,1.79984442e+01,6.29898947e+00,3.91831103e-13,-9.96968680e-02,-5.44985634e-02,-1.00268826e-01,-8.25496384e-02
1.26000000e-01,1.46582613e+02,2.03718660e+01,6.47887555e+00,2.04419182e-12,-9.97571762e-02,-5.45447919e-02,-1.00631965e-01,-8.26754123e-02
1.27000000e-01,1.47112057e+02,2.28189791e+01,6.64531342e+00,-2.79502708e-12,-9.98167096e-02,-5.46136010e-02,-1.00878880e-01,-8.27980959e-02
1.28000000e-01,1.47672486e+02,2.53298849e+01,6.80216746e+00,-4.32786866e-12,-9.98755510e-02,-5.48048431e-02,-1.00821687e-01,-8.29227004e-02
1.29000000e-01,1.48280736e+02,2.78749153e+01,6.95500703e+00,8.37490180e-12,-9.99337753e-02,-5.53512823e-02,-1.00740753e-01,-8.30499297e-02
1.30000000e-01,1.48916043e+02,3.04241572e+01,7.10856242e+00,6.38882209e-12,-9.99911145e-02,-5.63473053e-02,-1.00767297e-01,-8.31674293e-02
1.31000000e-01,1.49592109e+02,3.29540604e+01,7.26464296e+00,-2.40261129e-11,-1.00047832e-01,-5.73328128e-02,-1.00819313e-01,-8.32737860e-02
1.32000000e-01,1.50313520e+02,3.54416436e+01,7.42196368e+00,-8.17337425e-12,-1.00104730e-01,-5.73973240e-02,-1.00837691e-01,-8.34053698e-02
1.33000000e-01,1.51057370e+02,3.78658054e+01,7.57764175e+00,6.13997909e-11,-1.00160490e-01,-5.60470691e-02,-1.00844222e-01,-8.35836507e-02
1.34000000e-01,1.51807855e+02,4.02105414e+01,7.72904037e+00,5.46010051e-12,-1.00212854e-01,-5.39310582e-02,-1.00859983e-01,-8.37349960e-02
1.35000000e-01,1.52563179e+02,4.24648099e+01,7.87494914e+00,-1.51556279e-10,-1.00265618e-01,-5.23912559e-02,-1.00878580e-01,-8.38141953e-02
