time_s,AorticArchI,ThoAortaIII,AbdomAortaV,RightCCA,RightRenal,RightCommonIliac,RightICA,RightRadial,RightInternalIliac,RightPostInteross,RightFemoralII,RightAntTibial
9.60000000e-02,1.21105517e+01,1.13905305e+01,1.00789802e+01,1.18997745e+01,1.00422646e+01,1.02428427e+01,1.10388446e+01,1.04684564e+01,1.01135760e+01,9.77445116e+00,9.98475760e+00,9.57903700e+00
9.70000000e-02,1.21522868e+01,1.14480196e+01,1.00810505e+01,1.19788048e+01,1.00674311e+01,1.02333514e+01,1.10861774e+01,1.04440940e+01,1.00929371e+01,9.76882006e+00,9.98276351e+00,9.57624761e+00
9.80000000e-02,1.21957374e+01,1.15013888e+01,1.00689077e+01,1.20575869e+01,1.00653058e+01,1.02140401e+01,1.11177782e+01,1.04711417e+01,1.00884086e+01,9.74724945e+00,9.97601566e+00,9.57327337e+00
9.90000000e-02,1.22386257e+01,1.15570481e+01,1.00536999e+01,1.21352216e+01,1.00507349e+01,1.01992595e+01,1.11430811e+01,1.05492994e+01,1.01056354e+01,9.71452371e+00,9.96825310e+00,9.57002870e+00
1.00000000e-01,1.22793348e+01,1.16155614e+01,1.00579341e+01,1.22062157e+01,1.00517316e+01,1.01964546e+01,1.11694491e+01,1.06366065e+01,1.01273795e+01,9.69923261e+00,9.96321467e+00,9.56642044e+00
1.01000000e-01,1.23173995e+01,1.16744528e+01,1.00766988e+01,1.22709411e+01,1.00723172e+01,1.01905159e+01,1.12116419e+01,1.06845271e+01,1.01385252e+01,9.73483301e+00,9.96287051e+00,9.56239206e+00
1.02000000e-01,1.23524235e+01,1.17345101e+01,1.00911782e+01,1.23326712e+01,1.00918326e+01,1.01725507e+01,1.12702503e+01,1.06739304e+01,1.01612025e+01,9.81609617e+00,9.96677031e+00,9.55802166e+00
1.03000000e-01,1.23855683e+01,1.17953514e+01,1.01016478e+01,1.23955303e+01,1.01026194e+01,1.01612504e+01,1.13319076e+01,1.06196589e+01,1.02049339e+01,9.89355835e+00,9.97271107e+00,9.55356042e+00
1.04000000e-01,1.24187397e+01,1.18591016e+01,1.01172288e+01,1.24616943e+01,1.01176255e+01,1.01609798e+01,1.14001730e+01,1.05494161e+01,1.02289736e+01,9.92108277e+00,9.97807759e+00,9.54932537e+00
1.05000000e-01,1.24531956e+01,1.19265911e+01,1.01379095e+01,1.25199497e+01,1.01428199e+01,1.01385542e+01,1.14906810e+01,1.04833011e+01,1.02208857e+01,9.89170539e+00,9.98097469e+00,9.54547799e+00
