time_s,AorticArchI,ThoAortaIII,AbdomAortaV,RightCCA,RightRenal,RightCommonIliac,RightICA,RightRadial,RightInternalIliac,RightPostInteross,RightFemoralII,RightAntTibial
4.90000000e-02,1.16321468e+02,2.68212591e+01,9.95032785e+00,5.86591487e+00,5.85838029e+00,5.61035949e+00,2.69915191e+00,3.56177265e-01,3.53372840e+00,6.91745254e-02,1.27913132e+00,1.75498109e-01
5.00000000e-02,1.21280696e+02,2.80927031e+01,1.00108254e+01,6.23111898e+00,6.08656302e+00,5.55037004e+00,2.88150756e+00,3.66776554e-01,3.56713219e+00,7.04232495e-02,1.30481951e+00,1.82075874e-01
5.10000000e-02,1.24300639e+02,2.97067832e+01,9.83079399e+00,6.60226879e+00,6.19228974e+00,5.60510439e+00,3.33787178e+00,3.76272923e-01,3.56163105e+00,7.17443631e-02,1.35714860e+00,1.85510512e-01
5.20000000e-02,1.27567529e+02,3.17609962e+01,1.01132274e+01,6.85066351e+00,6.24940533e+00,5.60981433e+00,3.55300498e+00,3.85462144e-01,3.76889497e+00,7.32110061e-02,1.42195814e+00,1.88710724e-01
5.30000000e-02,1.32335016e+02,3.43545983e+01,1.12526306e+01,7.03448105e+00,6.30824548e+00,5.52210392e+00,3.50696376e+00,3.96060787e-01,4.04607399e+00,7.47593372e-02,1.48232818e+00,1.95530157e-01
5.40000000e-02,1.38698184e+02,3.65025036e+01,1.22717611e+01,7.20823940e+00,6.35909228e+00,5.53435726e+00,3.45783862e+00,4.08080957e-01,4.06322804e+00,7.62053333e-02,1.52909059e+00,2.08272100e-01
5.50000000e-02,1.45804126e+02,3.86759060e+01,1.26168357e+01,6.99374838e+00,6.38546699e+00,5.55720640e+00,3.45705270e+00,4.18628901e-01,4.04586930e+00,7.76020502e-02,1.56397164e+00,2.26198457e-01
5.60000000e-02,1.51734919e+02,4.01670730e+01,1.26823461e+01,6.75153994e+00,6.38353064e+00,5.56636724e+00,3.57726177e+00,4.24872330e-01,4.07492444e+00,7.93513093e-02,1.59480185e+00,2.46085886e-01
5.70000000e-02,1.57303400e+02,3.85584147e+01,1.27856864e+01,6.81407891e+00,6.37730019e+00,5.56950775e+00,3.65901988e+00,4.28560247e-01,4.09778412e+00,8.15492521e-02,1.62772815e+00,2.64214672e-01
5.80000000e-02,1.63946040e+02,3.70018510e+01,1.30867209e+01,6.94531166e+00,6.41434874e+00,5.52952384e+00,3.47303895e+00,4.36518319e-01,4.02248792e+00,8.34186653e-02,1.66263673e+00,2.78152636e-01
5.90000000e-02,1.70581917e+02,3.81809491e+01,1.33274293e+01,6.97886432e+00,6.54501894e+00,5.55451215e+00,3.21768309e+00,4.55499683e-01,3.95273009e+00,8.39974394e-02,1.69433883e+00,2.87309199e-01
6.00000000e-02,1.76762806e+02,3.98654034e+01,1.34562543e+01,6.98101264e+00,6.66599990e+00,5.66885879e+00,3.13913735e+00,4.86167154e-01,3.91554292e+00,8.35191746e-02,1.71722485e+00,2.92536653e-01
6.10000000e-02,1.84358372e+02,4.03581952e+01,1.38764983e+01,7.22407602e+00,6.72470901e+00,5.77135156e+00,3.24929405e+00,5.21972589e-01,3.86662008e+00,8.36528754e-02,1.72925327e+00,2.95495311e-01
6.20000000e-02,1.94010889e+02,4.12244614e+01,1.46773024e+01,7.73427673e+00,6.83575924e+00,5.77170950e+00,3.44038382e+00,5.53697953e-01,3.86484577e+00,8.59801151e-02,1.73259062e+00,2.97984459e-01
6.30000000e-02,2.03903289e+02,4.37385698e+01,1.53510473e+01,8.25220004e+00,7.05231327e+00,5.66364714e+00,3.43527112e+00,5.75273219e-01,3.92244667e+00,9.03693286e-02,1.73123526e+00,3.01211566e-01
6.40000000e-02,2.12900659e+02,4.67270626e+01,1.54878401e+01,8.56863725e+00,7.22804701e+00,5.59592197e+00,3.28479247e+00,5.86651966e-01,3.96832647e+00,9.50363029e-02,1.72785370e+00,3.05233784e-01
6.50000000e-02,2.21488372e+02,4.88494561e+01,1.53312726e+01,8.86159950e+00,7.27770933e+00,5.84189715e+00,3.23207457e+00,5.91897770e-01,3.91570725e+00,9.81618286e-02,1.72189929e+00,3.09122225e-01
6.60000000e-02,2.30048012e+02,5.10516224e+01,1.52582184e+01,9.19901640e+00,7.31161479e+00,6.34515660e+00,3.26328905e+00,5.94699180e-01,3.86230321e+00,9.92188956e-02,1.71018955e+00,3.11927672e-01
6.70000000e-02,2.38300254e+02,5.34829354e+01,1.52898315e+01,9.58729565e+00,7.34595493e+00,6.64749020e+00,3.39644132e+00,5.96243482e-01,3.89418926e+00,9.88738590e-02,1.68984716e+00,3.13744914e-01
6.80000000e-02,2.45862910e+02,5.52964591e+01,1.53504693e+01,1.00365611e+01,7.30261207e+00,6.68445223e+00,3.58832323e+00,5.97183384e-01,3.90230127e+00,9.81594944e-02,1.66163202e+00,3.15955573e-01
6.90000000e-02,2.53584635e+02,5.78390343e+01,1.53494463e+01,1.01247154e+01,7.22554014e+00,6.68142053e+00,3.64628646e+00,5.99136823e-01,3.88407678e+00,9.79135336e-02,1.63083954e+00,3.20394788e-01
7.00000000e-02,2.62443288e+02,6.13872149e+01,1.52152866e+01,9.98999180e+00,7.18987646e+00,6.77572617e+00,3.60437972e+00,6.02298818e-01,3.87603172e+00,9.84669593e-02,1.60496745e+00,3.28093923e-01
7.10000000e-02,2.71341871e+02,6.23365263e+01,1.53510379e+01,9.97533362e+00,7.22076112e+00,6.90655554e+00,3.65606283e+00,6.03950010e-01,3.88981211e+00,9.95513127e-02,1.59050575e+00,3.38558692e-01
7.20000000e-02,2.79042389e+02,6.25176153e+01,1.60248929e+01,1.01122687e+01,7.28574743e+00,6.99377895e+00,3.82406755e+00,6.03195228e-01,3.93073111e+00,1.00819491e-01,1.59137436e+00,3.50045304e-01
7.30000000e-02,2.86144864e+02,6.55157057e+01,1.65926940e+01,1.04417815e+01,7.29225164e+00,7.12421399e+00,3.91283340e+00,6.06025823e-01,3.97452186e+00,1.02273075e-01,1.60850328e+00,3.60534181e-01
7.40000000e-02,2.93574766e+02,6.96791003e+01,1.68161981e+01,1.08932571e+01,7.26000588e+00,7.34927818e+00,3.87731912e+00,6.19732073e-01,3.98004066e+00,1.03592609e-01,1.63863799e+00,3.68692512e-01
7.50000000e-02,3.01414374e+02,7.36406597e+01,1.74492087e+01,1.13035391e+01,7.28073402e+00,7.65975981e+00,3.83120858e+00,6.39639386e-01,3.93285541e+00,1.03876353e-01,1.67309279e+00,3.74274487e-01
7.60000000e-02,3.09258236e+02,7.74225843e+01,1.85976181e+01,1.16274970e+01,7.29292513e+00,7.88920216e+00,3.73384169e+00,6.47110256e-01,3.90559056e+00,1.03249193e-01,1.69900616e+00,3.77880752e-01
7.70000000e-02,3.16805024e+02,8.11563195e+01,1.92892238e+01,1.19332085e+01,7.23491547e+00,7.87396494e+00,3.61271597e+00,6.29802902e-01,3.93730079e+00,1.03461846e-01,1.70361794e+00,3.80399905e-01
7.80000000e-02,3.24511678e+02,8.48325124e+01,1.93318144e+01,1.23290550e+01,7.21236546e+00,7.76354092e+00,3.61647221e+00,6.07010192e-01,3.93671906e+00,1.05205070e-01,1.67992323e+00,3.82541440e-01
7.90000000e-02,3.33132522e+02,8.76448252e+01,1.93301268e+01,1.27644653e+01,7.26645327e+00,7.72344686e+00,3.66921127e+00,6.27559647e-01,3.88768194e+00,1.06034547e-01,1.63153635e+00,3.84677025e-01
8.00000000e-02,3.41574437e+02,9.02878158e+01,1.94114696e+01,1.31142981e+01,7.24414748e+00,7.71885731e+00,3.64760921e+00,7.29285483e-01,3.90803812e+00,1.03197367e-01,1.57319326e+00,3.86935846e-01
8.10000000e-02,3.47960022e+02,9.37642521e+01,1.92395941e+01,1.34468654e+01,7.08464662e+00,7.65856491e+00,3.69166506e+00,8.93985049e-01,4.09747823e+00,9.93754496e-02,1.52343047e+00,3.89358170e-01
8.20000000e-02,3.52789607e+02,9.83087047e+01,1.88157919e+01,1.39274027e+01,6.95430754e+00,7.56410618e+00,3.93914289e+00,1.05157625e+00,4.28225482e+00,1.03868406e-01,1.49246984e+00,3.91956721e-01
8.30000000e-02,3.58133863e+02,1.02814016e+02,1.86040680e+01,1.44915211e+01,6.98409134e+00,7.60974791e+00,4.30059803e+00,1.14195256e+00,4.28896315e+00,1.23617919e-01,1.47573957e+00,3.94678185e-01
8.40000000e-02,3.65120425e+02,1.06616453e+02,1.88153815e+01,1.50465428e+01,7.06454319e+00,7.89044306e+00,4.60609086e+00,1.17139882e+00,4.23061327e+00,1.52499848e-01,1.45978293e+00,3.97357463e-01
